name,my_rating,imdb_rating,tmdb_rating,tmdb_count,metacritic_rating,budget,revenue,runtime,award_count,imdb_count,imdb_arithmetic_mean,imdb_median,imdb_top_1000_rating,imdb_top_1000_count,imdb_us_rating,imdb_us_count,imdb_not_us_rating,imdb_not_us_count,imdb_rating_percentile,tmdb_rating_percentile,metacritic_rating_percentile,is_action,is_comedy,is_adventure,is_animation,is_family,is_drama,is_scifi,is_thriller,is_rated_g,is_rated_pg,is_rated_pg13,is_rated_r,is_rated_nr,is_brad_pitt,is_stan_lee,is_christopher_nolan,is_spielberg,is_harrison_ford,is_matt_damon,is_wes_anderson,is_tom_cruise,is_john_williams,is_rdj,is_quentin_tarantino,is_tom_hanks,is_george_lucas,is_leonardo_dicaprio,is_the_rock,is_stanley_kubrick,is_john_hughes,is_jim_carrey,is_wally_pfister,is_henry_fonda,is_morgan_freeman,is_bong_joon_ho,is_dustin_hoffman,is_arnold_schwarz,is_jack_nicholson,is_aamir_khan,is_sean_connery,is_brad_bird,is_natalie_portman,is_robin_williams,is_sandra_bullock,is_bill_murray
Deadpool,70,8,7.6,26597,65,58000000,783100000,108,0,992187,8.1,8,8.2,814,8.1,99023,7.8,328527,77.81569965870307,70.13651877133105,45.90443686006826,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dog Day Afternoon,70,8,7.8,2270,86,1800000,46665856,125,6,251784,8,8,7.9,688,8.2,49903,8,115073,77.81569965870307,78.839590443686,89.07849829351535,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donnie Darko,65,8,7.8,10314,88,6000000,7500000,114,0,781798,8,8,7.6,810,8,135448,8,346854,77.81569965870307,78.839590443686,90.78498293515358,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy,87,8,7.9,24254,76,170000000,772776600,121,3,1135319,8.1,8,7.7,861,8.3,130897,7.9,379396,77.81569965870307,83.10580204778157,71.50170648464164,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kill Bill: Vol. 2,68,8,7.9,11627,83,30000000,152159461,136,0,734834,7.9,8,7.7,819,8.1,115232,7.9,325972,77.81569965870307,83.10580204778157,83.44709897610922,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La La Land,63,8,7.9,14207,94,30000000,1,129,14,562888,7.9,8,7.1,696,8,57780,7.9,198880,77.81569965870307,83.10580204778157,96.58703071672355,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Strada,53,8,8,781,76.48564361062921,0,0,115,2,62392,7.9,8,7.6,477,8.1,12913,8,30948,77.81569965870307,87.71331058020478,0.17064846416382254,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Samouraï,67,8,7.8,733,73.9100967862869,0,39481,105,0,50338,8,8,7.5,422,8.1,9781,8,24953,77.81569965870307,78.839590443686,0.17064846416382254,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,86,8,7.8,17262,63,140000000,655011224,143,5,1074258,8.1,8,7.8,872,8.1,165459,8,446794,77.81569965870307,78.839590443686,40.955631399317404,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rain Man,70,8,7.8,5067,65,25000000,354825435,134,8,501968,8,8,7.8,812,8,88397,8,224748,77.81569965870307,78.839590443686,45.90443686006826,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
